ID,LCI,NDRE,RENDVI,GNDVI,NDVI,,CCC,GMC
C-28-1,0.577546,0.486598,0.747815,0.84124,0.893463,,173.88 ,0.46
C-28-2,0.590835,0.504075,0.720111,0.833314,0.885479,,183.17 ,0.46
C-39-1,0.566877,0.480792,0.713252,0.820361,0.875803,,165.74 ,0.458
C-39-2,0.555183,0.465605,0.738533,0.809825,0.883695,,127.53 ,0.417
C-37-1,0.493808,0.431148,0.568622,0.767586,0.78164,,113.08 ,0.414
C-37-2,0.499799,0.429061,0.620923,0.765302,0.810385,,100.18 ,0.398
C-26-1,0.507834,0.433309,0.644061,0.784137,0.824819,,130.19 ,0.41
C-26-2,0.499934,0.421168,0.677201,0.781928,0.838579,,134.48 ,0.434
C-24-1,0.512838,0.436233,0.656776,0.802892,0.832794,,115.47 ,0.41
C-24-2,0.539889,0.461492,0.662347,0.78844,0.844642,,165.95 ,0.455
C-35-1,0.505784,0.432725,0.634663,0.768539,0.819445,,111.24 ,0.398
C-35-2,0.58194,0.504731,0.653785,0.792761,0.855261,,151.69 ,0.455
C-33-1,0.435664,0.361731,0.686395,0.74032,0.823022,,81.51 ,0.41
C-33-2,0.430338,0.367452,0.607156,0.736548,0.776211,,73.24 ,0.413
C-22-1,0.423475,0.352166,0.678036,0.734725,0.81438,,67.07 ,0.405
C-22-2,0.422194,0.351309,0.676022,0.748108,0.812804,,93.74 ,0.426
C-20-1,0.284444,0.2447,0.620383,0.653197,0.728363,,59.71 ,0.39
C-20-2,0.374121,0.314259,0.543877,0.668993,0.709961,,39.92 ,0.37
C-31-1,0.400984,0.284561,0.688417,0.753118,0.836853,,44.50 ,0.372
C-31-2,0.358407,0.296548,0.686255,0.755825,0.798704,,70.12 ,0.385
