ID,CCC,LCI,NDRE,RENDVI,GNDVI,NDVI,,GMC,CCC,LCI_pre,NDRE_pre,RENDVI_pre,GNDVI_pre,NDVI_pre
SCL-C-13,147.53 ,0.566721435,0.428544038,0.744173749,0.869384329,0.889155969,,0.424,0.4384 ,0.4382 ,0.4257 ,0.4389 ,0.4578 ,0.4441 
SCL-C-12,48.06 ,0.478145885,0.383485483,0.473009981,0.739831214,0.72498809,,0.4,0.3745 ,0.4189 ,0.4137 ,0.3569 ,0.4057 ,0.3748 
SCL-C-11,50.74 ,0.398582138,0.303838221,0.518480717,0.71546263,0.710405703,,0.377,0.3776 ,0.3983 ,0.3885 ,0.3735 ,0.3949 ,0.3679 
SCL-C-7,135.07 ,0.562936692,0.449296581,0.57870094,0.793565792,0.815865639,,0.43,0.4333 ,0.4374 ,0.4309 ,0.3934 ,0.4283 ,0.4149 
SCL-C-8,161.47 ,0.587666326,0.459878296,0.673904659,0.811802055,0.86553991,,0.44,0.4435 ,0.4423 ,0.4334 ,0.4210 ,0.4357 ,0.4350 
SCL-C-6,70.35 ,0.468047303,0.358447064,0.574795629,0.741816676,0.773811388,,0.393,0.3962 ,0.4165 ,0.4064 ,0.3922 ,0.4066 ,0.3969 
SCL-C-2,125.38 ,0.513762715,0.38315862,0.701019239,0.783504134,0.821194,,0.409,0.4291 ,0.4270 ,0.4136 ,0.4281 ,0.4242 ,0.4171 
SCL-C-1,89.76 ,0.442859203,0.311559925,0.756407428,0.836104,0.79284,,0.404,0.4101 ,0.4102 ,0.3912 ,0.4419 ,0.4452 ,0.4052 
SCL-C-21,119.68 ,0.538081232,0.41468656,0.644185342,0.787640253,0.835642531,,0.432,0.4265 ,0.4323 ,0.4222 ,0.4128 ,0.4259 ,0.4230 
SCL-C-22,56.38 ,0.403214579,0.314398208,0.473363484,0.714602118,0.685711005,,0.391,0.3836 ,0.3996 ,0.3922 ,0.3570 ,0.3945 ,0.3559 
SCL-C-20,54.96 ,0.411974404,0.309550765,0.56269375,0.721615246,0.742852732,,0.391,0.3822 ,0.4020 ,0.3905 ,0.3883 ,0.3976 ,0.3831 
SCL-C-16,197.99 ,0.576504162,0.449067898,0.670088046,0.804154839,0.86028366,,0.443,0.4551 ,0.4401 ,0.4308 ,0.4199 ,0.4326 ,0.4329 
SCL-C-30,87.42 ,0.501823603,0.392633136,0.558231868,0.75726018,0.779921543,,0.418,0.4086 ,0.4244 ,0.4163 ,0.3869 ,0.4132 ,0.3996 
SCL-C-29,118.62 ,0.515362623,0.390644758,0.65876385,0.78520387,0.834624207,,0.411,0.4259 ,0.4274 ,0.4157 ,0.4169 ,0.4249 ,0.4226 
SCL-C-31,58.05 ,0.417740288,0.320433056,0.521544135,0.707470697,0.721414426,,0.381,0.3853 ,0.4036 ,0.3942 ,0.3746 ,0.3913 ,0.3731 
SCL-C-25,97.16 ,0.493190682,0.357706393,0.747338992,0.785395045,0.871949047,,0.422,0.4146 ,0.4224 ,0.4062 ,0.4397 ,0.4250 ,0.4375 
SCL-C-24,129.32 ,0.529740435,0.397725836,0.705830661,0.774448196,0.861664055,,0.418,0.4309 ,0.4305 ,0.4177 ,0.4293 ,0.4205 ,0.4334 
SCL-C-39,61.42 ,0.566929,0.491935,0.479959644,0.785912692,0.788313038,,0.403,0.3885 ,0.4382 ,0.4407 ,0.3595 ,0.4252 ,0.4032 
SCL-C-40,188.06 ,0.549856536,0.418405532,0.697935906,0.807894152,0.864027823,,0.443,0.4522 ,0.4347 ,0.4232 ,0.4273 ,0.4341 ,0.4344 
SCL-C-38,81.25 ,0.499776264,0.396270478,0.522166029,0.761293463,0.760976105,,0.413,0.4044 ,0.4239 ,0.4173 ,0.3748 ,0.4149 ,0.3912 
SCL-C-34,55.76 ,0.353998596,0.268263119,0.494727599,0.639632376,0.673593319,,0.381,0.3830 ,0.3848 ,0.3750 ,0.3650 ,0.3587 ,0.3498 
SCL-C-33,78.04 ,0.441391496,0.327772329,0.620542846,0.743237384,0.788032007,,0.393,0.4021 ,0.4098 ,0.3967 ,0.4060 ,0.4072 ,0.4031 
